,name,name_description,name_category,name_gender
450,Lucyla,"Lucyla, Lucylla – imię żeńskie pochodzenia łacińskiego, od słowa lux, czyli ""światło"", odpowiednik męskiego imienia Lucyliusz. Jego patronką jest św. Lucyla, męczennica.
",latin and romanic,female
451,Lucyna,"Lucyna – imię żeńskie pochodzenia łacińskiego.  Oznacza z łac. lucina – niosąca światło, narodziny (lucinus, -a, -um 'świetlisty'). Patronką imienia jest św. Lucyna z I lub III wieku[1]. Wywodzi się od imienia bogini światła i narodzin. Powiązanym imieniem może być germańska „Lucinda”, pochodząca od imienia „Lucia” (Łucja).
Przydomek ten nadano boginiom Dianie i Juno.
",latin and romanic,female
452,Lucjana,"Lucjana – żeński odpowiednik imienia Lucjan. Oboczna forma imienia Łucjana.
",latin and romanic,female
453,Lucjan,"Lucjan – imię męskie pochodzenia łacińskiego. Imię to jest polską wersją łacińskiego Lucianus, co oznacza ""należący do Lucjusza, wywodzący się od Lucjusza"". Jego oboczną formą jest Łucjan. Patronem imienia jest m.in. św. Lucjan, męczennik z Nikomedii (zm. ok. 250)[1].
",latin and romanic,male
454,Ludomir,"Ludomir, Ludomer, Ludmar –  staropolskie imię męskie, złożone z członów Ludo- (""ludzie"") i -mir (""pokój, spokój, dobro""). Być może oznaczało ""ten, który ma szacunek ludzi"" lub ""ten, który zapewnia ludziom pokój"".
",slavic,male
455,Lucyliusz,"Lucyliusz — imię męskie pochodzenia łacińskiego, od słowa lux, czyli ""światło"". 
",latin and romanic,male
456,Lubowid,"Lubowid — staropolskie imię męskie, zrekonstruowane na podstawie nazwy wsi Lubowidz i Lubowidza oraz jeziora Lubowidzkiego[1], złożone z członów Lubo- (""miły, luby, kochany"") i -wid (""widzieć"", ale może od widz - ""sługa, posłaniec"").
",slavic,male
457,Luboradz,"Luboradz – staropolskie imię męskie, złożone z członów Lubo- (""miły, luby, kochany"") i -radz (radzić – dawniej ""troszczyć się, dbać o coś""). Imię to mogło oznaczać ""tego, kto troszczy się o tych, których kocha"".
",slavic,male
458,Lubomysł,"Lubomysł — staropolskie imię męskie, zrekonstruowane na podstawie nazwy wsi Lubomyśle[1], złożone z członów Lubo- (""miły, luby, kochany"") i -mysł (""myśleć"").
",slavic,male
459,Gonsalwy,"Gonsalwy – imię męskie, którego patronem jest m.in. bł. Gonsalwy z Amaranto, zakonnik (zm. ok. 1259 roku).
",latin and romanic,male
460,Lucydiusz,"Lucydiusz – imię męskie pochodzenia łacińskiego, oznaczające ""błyszczący, lśniący"". Patronem tego imienia jest św. Lucydiusz, biskup Werony.
",latin and romanic,male
461,Godzimir,"Godzimir – staropolskie imię męskie. Składa się z członu Godzi- (""robić coś w stosownym czasie"", ""dopasowywać, czynić odpowiednim"") i -mir (""pokój, spokój, dobro""). Może zatem oznaczać ""ten, który czyni ład i pokój"". Jedną z form skróconych jest Godzisz. Por. Mirogod, imię złożone z tych samych członów w odwrotnej kolejności.
",slavic,male
462,Godfryd,"Godfryd, Gotfryd – imię męskie pochodzenia germańskiego. Wywodzi się ze złożenia słów god - bóg i frid - pokój. Staropolskim wariantem jest Godprzyd[1]. 
",german,male
463,Gniewosądka,"Gniewosądka – staropolskie imię żeńskie, złożone z członów Gniewo- (""gniew"") i -sąd-ka (""sądzić"").
",slavic,female
464,Gniewomir,"Gniewomir, Gniewomiar, Gniewomier, Gniemir – staropolskie imię męskie.
",slavic,male
465,Gnierat,"Gnierat  – staropolskie imię męskie. Składa się z członu Gnie(wo)- (""gniew"") i -rat (""wojna, walka"", ""walczyć""). Mogło zatem oznaczać ""ten, który walczy w gniewie"" lub in.
",slavic,male
466,Gloria,"Gloria – imię żeńskie pochodzenia łacińskiego. Wywodzi się od słowa gloria oznaczającego chwałę. Imię pierwszy raz użyte w sztuce George'a Bernarda Shawa You Never Can Tell. Wcześniej nigdy nieużywane.
",latin and romanic,female
467,Gliceriusz,"Gliceriusz — imię męskie pochodzenia greckiego. Wywodzi się od słowa glykys oznaczającego słodycz. Forma oboczna — Glicery. Wśród patronów - św. Gliceriusz, kapłan († III–IV wiek).
",greek,male
468,Gliceriusz,"Gliceriusz — imię męskie pochodzenia greckiego. Wywodzi się od słowa glykys oznaczającego słodycz. Forma oboczna — Glicery. Wśród patronów - św. Gliceriusz, kapłan († III–IV wiek).
",greek,male
469,Gliceria,"Gliceria – imię żeńskie pochodzenia greckiego. Wywodzi się od słowa glykys oznaczającego słodycz. Patronką tego imienia jest św. Gliceria (zm. 177, męczennica). Męskie odpowiedniki - Gliceriusz i Glicery.
",greek,female
470,Glafyra,"Glafyra lub Glafira[1] – imię żeńskie pochodzenia greckiego (glaphyros), oznaczające ""wytworna, elegancka"". Patronką tego imienia jest św. Glafyra z Amazji[2].
",greek,female
471,Gizela,"Gizela – imię żeńskie pochodzenia germańskiego. Wywodzi się od słowa gisel oznaczającego przysięgę lub zakładnika. Imię spopularyzowane przez balet Adolphe'a Adama Giselle z 1841.
",german,female
472,Gizbert,"Gizbert, Gizebert – imię męskie pochodzenia germańskiego, złożone z członów: Gis-, który bądź oznaczał „ostro zakończony kij; włócznia z żelaznym końcem” (por. Gerbert), bądź stanowił formę skróconą germańskiego członu imion złożonych Gīsala, Gīsla (por. Gilbert), oznaczającego „potomek, latorośl”, oraz beraht - „lśniący, błyszczący”[1]. Według innych źródeł, Gīsala to „zakładnik”, „gwarancja, obietnica”[2]. Patronem tego imienia jest św. Gizbert z Bebenhausen, przeor klasztoru cystersów[3].
",german,male
473,Ginter,"Guncerz, Ginter, Gunter – imię męskie pochodzenia germańskiego, składające się z członów gund – „walka, wojna, bitwa” i heri, co jako drugi człon imienia oznaczało „dowódca wojskowy”. W Polsce imię to nadawane było od średniowiecza, nosił je m.in. biskup płocki Gunter, który był jednym z inicjatorów sprowadzenia do Polski zakonu krzyżackiego[1]. Notowane w formach: Guncerz, Guncarz, Kuncerz, lat. Guncerus, Gunter, Ginter, łac. Guntherus, lat. Gunterus, Ginterus, Cuntherus; ze zdrobnieniami: Gincyl, Guncel, Guncyl, Gunt, Guntek, Guntko, Gun, Gusz, Gusza, Guszek, Guszko[2]. 
",german,male
474,Gniewomir,"Gniewomir, Gniewomiar, Gniewomier, Gniemir – staropolskie imię męskie.
",slavic,male
475,Gildas,"Gildas – imię męskie pochodzenia celtyckiego, wywodzące się od Gilla-das, o znaczeniu „sługa Pana”[1]. Jego patronem jest św. Gildas Mędrzec, opat (VI wiek).
",other,male
476,Gilbert,"Gilbert – imię męskie pochodzenia germańskiego. Wywodzi się od słów gisel – przysięga i beracht – jasny[1]. Imię zostało wprowadzone do języka angielskiego przez Normanów, a potem spopularyzowane dzięki XII-wiecznemu św. Gilbertowi.
",german,male
477,Giedymin,"Giedymin — imię męskie pochodzenia litewskiego.
",other,male
478,Gerwina,"Gerwina – imię żeńskie pochodzenia germańskiego, złożone z członów Ger- (""oszczep, dzida"") i -win (""przyjaciel""); żeński odpowiednik imienia Gerwin. Istnieje dwóch świętych patronów tego imienia, m.in. św. Gerwin, opat z Saint-Riquier.
",german,female
479,Gerwin,"Gerwin – imię męskie pochodzenia germańskiego, złożone z członów Ger- (""oszczep, dzida"") i -win (""przyjaciel""). W Polsce pierwszy raz notowane w 1264 roku u osoby o niejasnej narodowości. Istnieje dwóch świętych katolickich o tym imieniu.
",german,male
480,Gerwazy,"Gerwazy — imię męskie pochodzenia greckiego. Wywodzi się od słowa oznaczającego ""czczony"", ""szanowany"".
",greek,male
481,Gertruda,"Gertruda – imię żeńskie pochodzenia germańskiego, złożone z członu Ger-: stwniem. gēr – „włócznia z ostrym żelaznym grotem”[1], „oszczep”[2], oraz trut, od germ. thrūdi („moc, siła”) pomieszanego z drūda, stwniem. trūt, drūt („ukochany, miły”[1]; por. Ermentruda). Można je tłumaczyć jako „silna w walce oszczepem”.
",german,female
482,Ginewra,"Ginewra – imię żeńskie pochodzenia celtyckiego. Kornwalijską formą tego imienia jest Jennifer[1].
",other,female
483,Geroncjusz,"Geroncjusz – imię męskie pochodzenia łacińskiego, o etymologii niepewnej, być może wywodzące się od greckiego słowa γερων (geron) – ""stary człowiek"". Wśród patronow tego imienia — św. Geroncjusz, żyjący w VI wieku.
",latin and romanic,male
484,Gleb,"Gleb – imię męskie pochodzenia staroskandynawskiego; rosyjska wersja staroskandynawskiego imienia Guðleifr, które powstało z guð - ""bóg"" i leifr - ""spadkobierca"". Wśród patronów - św. Gleb, męczennik pod Kijowem, towarzysz św. Borysa. Imię to nosił także Gleb Jurijewicz, książę kijowski w latach 1169 i 1170-1171.
",other,male
485,Germeriusz,"Germeriusz – imię męskie pochodzenia germańskiego w zlatynizowanej formie, składające się z członów gern- (""włócznia"") i -mer (lub -mar; ""sławny""). Patronem tego imienia jest św. Germeriusz, biskup Tuluzy.
",german,male
486,Germanik,"Germanik - imię męskie pochodzenia łacińskiego, oznaczające ""pochodzący z Germanii"". Patronem tego imienia jest św. Germanik, żyjący w I/II wieku. 
",latin and romanic,male
487,Sulibor,"Sulibor – staropolskie imię męskie, złożone z dwóch członów: Suli- (""obiecywać"" albo ""lepszy, możniejszy"") i -bor (""walczyć, zmagać się""). Może oznaczać ""obiecujący walkę"" albo ""ten, który lepiej walczy"".
",slavic,male
488,Stylian,"Stylian — imię męskie pochodzenia greckiego, od gr. στυλος (stylos) —  ""filar"". Patronem tego imienia jest św. Stylian, pustelnik z Adrianopolu (VII wiek), patron dzieci.
",greek,male
489,Strzeżymir,"Strzeżymir — staropolskie imię męskie, złożone z członu Strzeży- (""strzec"") oraz członu -mir (""pokój, spokój, dobro"")[1]. Oznacza ""ten, który strzeże pokoju"".
",slavic,male
490,Strzeżysława,"Strzeżysława, Strzesława — staropolskie imię żeńskie, złożone z członu Strzeży- (""strzec"") oraz członu -sława (""sława""). Oznacza ""tę, która strzeże sławy"". W źródłach poświadczone w XII wieku.
",slavic,female
491,Strzeżysław,"Strzeżysław, Strzedzsław, Strzecsław, Strzecław, Strzesław – staropolskie imię męskie, złożone z członu Strzeży- (""strzec"") oraz członu -sław (""sława""). Oznacza ""tego, który strzeże sławy"".
",slavic,male
492,Strosław,"Strosław – staropolskie imię męskie, które albo było złożone z członu Stro(go)- (""srogo"") oraz członu -sław (""sława""), albo pierwszym jego członem było Stro(j)- (""stroić, budować""), albo też pochodzi od imienia Stronisław.
",slavic,male
493,Stronisława,"Stronisława – staropolskie imię żeńskie, złożone z członu Stroni- (""stronić, unikać"") oraz członu -sława (""sława""). Oznacza ""tę, która stroni od sławy"".
",slavic,female
494,Strogomir,"Strogomir – staropolskie imię męskie, złożone z członu Strogo- (""srogi"") oraz członu -mir (""pokój, spokój, dobro"").
",slavic,male
495,Strogobor,"Strogobor – staropolskie imię męskie, złożone z członu Strogo- (""srogo"") oraz członu -bor (""walczyć, zmagać się""). Mogło oznaczać ""tego, który zaciekle walczy"".
",slavic,male
496,Strachomir,"Strachomir – staropolskie imię męskie, złożone z członu Stracho- (od prasł. *strachъ, *strašiti, por. ""strach"", ""straszyć"") oraz członu -mir (""pokój, spokój, dobro"")[1]. Imię to notowane jest w Polsce od 1386 roku[2]. Jest to jedyne odnotowane staropolskie imię dwuczłonowe o takim pierwszym członie, z wyjątkiem ew. hipotetycznego imienia Strachowit, które zdaniem A. Bańkowskiego można odtworzyć z zachowanej formy Strawit-owa (fem.).
",slavic,male
497,Stomir,"Stomir – staropolskie imię męskie, złożone z członu Sto(j)- (""stać, stoję"") oraz członu -mir (""pokój, spokój, dobro""). Może oznaczać ""niech nastanie pokój"".
",slavic,male
498,Stronisław,"Stronisław – staropolskie imię męskie, złożone z członu Stroni- (""stronić, unikać"") oraz członu -sław (""sława""). Oznacza prawdopodobnie ""tego, który stroni od sławy"".
",slavic,male
499,Stojgniew,"Stojgniew, Stoigniew, Stogniew – staropolskie imię męskie, złożone z członu Stoj(i)- (""stać, stoję"") oraz członu -gniew (""gniew""). Może oznaczać ""ten, którego gniew nie ustaje"".
",slavic,male
500,Stojsława,"Stojsława, Stoisława, Tosława  – staropolskie imię żeńskie, złożone z członu Stoj(i)- (""stać, stoję"") oraz członu -sława (""sława"").  Oznacza ""ta, która ma stać się sławną"". Męskie odpowiedniki: Stojsław, Stoisław, Stosław, Tosław. W źródłach polskich poświadczone w XV wieku (1439 rok).
",slavic,female
501,Stella,"Stella[1][2], Stela[1][2] – imię żeńskie pochodzenia łacińskiego. Wywodzi się od słowa oznaczającego gwiazdę. Patronką tego imienia jest św. Stella, żyjąca w Galii w III wieku. Stella występuje w Fantazym Juliusza Słowackiego, a jako imię chrzestne była notowana w Polsce co najmniej od 1820 roku[3].
",latin and romanic,female
502,Strzedziwoj,"Strzedziwoj – staropolskie imię męskie, złożone z członu Strzedzi- (""strzec"" - równoznacznego ze Strzeży-) oraz członu -woj (""wojownik""). Znaczenie imienia: ""ten, który strzeże wojowników"" albo ""ten, którego strzegą wojownicy"".
",slavic,male
503,Stefania,"Stefania - żeński odpowiednik imienia Stefan.
",greek,female
504,Stefan,"Stefan – imię męskie pochodzenia greckiego (Στέφανος, Stefanos).
Wywodzi się od słowa oznaczającego „znak zwycięstwa”. Starogreckie słowo στέφανος oznacza wieniec. Pierwotnym polskim odpowiednikiem było imię Szczepan.
",greek,male
505,Stanisława,"Stanisława — staropolskie imię żeńskie, złożone z członu Stani- (""stać, stać się, stanąć"") oraz członu -sława (""sława""). Wywodzi się od słów oznaczających ""stań się sławną"". Męskie odpowiedniki: Stanisław, Stasław, Tasław. W źródłach polskich poświadczone od XIII wieku.
",slavic,female
506,Stanisław,"Stanisław, Stasław, Tasław – staropolskie męskie imię pochodzenia słowiańskiego, złożone z członu Stani- („stać, stać się, stanąć”) oraz członu -sław („sława”). Wywodzi się od słów oznaczających „stań się sławnym”. Do końca XV wieku imię to zanotowano u około 1500 osób, a więc należało ono do najpopularniejszych w Polsce obok Więcesława i Sędziwuja[1].
",slavic,male
507,Stanimir,"Stanimir – staropolskie imię męskie, złożone z członu Stani- (""stać, stać się, stanąć"") oraz członu -mir (""pokój, spokój, dobro""). Mogło oznaczać ""niech się stanie pokój"" albo ""ten, który ustanawia pokój"".
",slavic,male
508,Stanibor,"Stanibor – staropolskie imię męskie, złożone z członu Stani- (""stać, stać się, stanąć"") oraz członu -bor (""walczyć, zmagać się""). Mogło oznaczać ""ten, który zostanie sławnym wojownikiem"".
",slavic,male
509,Norbert,"Norbert – imię męskie pochodzenia starogermańskiego. Wywodzi się od słów nord – tj. północ i beraht – czyli błyszczeć, jaśnieć. Całość znaczy więc ""ten, który dokonuje wielkich czynów na północy"".
",german,male
510,Spycimir,"Spycimir, Spyćmier, Spyćmir, Spyćmierz  – staropolskie imię męskie, złożone z członu Spyci- („nadaremnie”), oraz członu -mir („pokój, spokój, dobro”), zdrobniale – Spytko. Pisownia z kończowym -rz prawdopodobnie jest zapisem imienia zdrobniałego, uformowanego przy użyciu przyrostka -jь, pod wpływem którego wygłosowe -r przeszło w -rz[1].
",slavic,male
511,Nonnus,"Nonnus – łac. imię męskie, oznaczające ""dziewiąty"" (analogicznie do Oktawiusz, 'ósmy'). Istnieje kilku świętych o tym imieniu[1]. Oboczną formą imienia jest Nonnos (Nonnosus)[2].
",latin and romanic,male
512,Nonna,"Nonna – imię żeńskie pochodzenia łacińskiego, oznaczające ""dziewiąta"" (analogicznie do Oktawia - ""ósma""). Patronką tego imienia jest św. Nonna, matka św. Grzegorza z Nazjanzu[1].
",latin and romanic,female
513,Spycigniew,"Spycigniew – staropolskie imię męskie, złożone z członu Spyci- (""nadaremnie""), oraz członu -gniew (""gniew""). Może oznaczać ""ten, którego gniew jest daremny"".
",slavic,male
514,Noe,"Noe – imię męskie pochodzenia semickiego.
",hebrew,male
515,Noemi,"Noemi (hebr. No'omiy, נָעֳמִי) – imię żeńskie pochodzenia hebrajskiego. Wywodzi się od hebrajskiego słowa oznaczającego ""moja rozkosz"".
",hebrew,female
516,Ninomysł,"Ninomysł – staropolskie imię męskie, złożone z członów Nino- (""nowy, młody"") oraz -mysł (myśleć).
",slavic,male
517,Ninian,"Ninian — imię męskie nieznanego pochodzenia, być może stanowiące zlatynizowaną formę walijskiego imienia Nynnyaw. Patronem tego imienia jest św. Ninian ze Szkocji, żyjący w IV/V wieku.
",other,male
518,Ninogniew,"Ninogniew, Minogniew – staropolskie imię męskie, złożone z członów Nino- (""nowy, młody"") oraz -gniew. Mogło oznaczać ""ten, którego gniew jest świeży"".
",slavic,male
519,Nina,"Nina – imię żeńskie o niejasnej etymologii, w Polsce dawniej znane jako zdrobnienie imienia Janina lub Antonina. Prawdopodobnie pochodzi od imienia Ninos, noszonego przez mitycznego założyciela Niniwy i imperium asyryjskiego. Patronka tego imienia, św. Nina (Nino), znana również jako Krystiana (Christiana – ""chrześcijanka""), przyniosła chrześcijaństwo do Gruzji. Wśród imion nadawanych nowo narodzonym dzieciom, Nina zajmuje 44. miejsce w grupie imion żeńskich[1].
",other,female
520,Nimfodora,"Nimfodora – imię żeńskie pochodzenia greckiego, złożone z członów νύμφη (nymphe) — ""dziewczyna, narzeczona"", oraz dōron – ""dar"". Oznacza zatem ""podarowana przez młodą kobietę"". Patronką tego imienia jest św. Nimfodora, wspominana razem ze śś. Menodorą i Metrodorą. 
",greek,female
521,Nilus,"Nilus, Nil – imię męskie pochodzenia greckiego, od gr. neilos – ""rzeka"". Istnieli liczni święci o tym imieniu.
",greek,male
522,Nimfa,"Nimfa – imię żeńskie pochodzenia greckiego, od gr. νύμφη (nymphe) – ""dziewczyna, narzeczona"". Patronką tego imienia w Kościele katolickim jest św. Nimfa, córka prefekta Palermo w czasach Konstantyna Wielkiego.
",greek,female
523,Nikon,"Nikon – imię męskie pochodzenia greckiego, wywodzące się od greckiego νικη (nike), co oznacza ""zwycięstwo"". Imię to stosunkowo największą popularnością cieszyło się u prawosławnych Słowian wschodnich.
Nikon imieniny obchodzi 23 marca i 26 listopada.
",greek,male
524,Nikomedes,"Nikomedes – imię męskie pochodzenia greckiego (gr. Νικομηδης), złożone z członów νικη (nike) – ""zwycięstwo"" i μηδομαι (medomai) – ""myśleć"", i oznaczające ""myśleć o zwycięstwie"". Istnieje dwóch świętych katolickich o tym imieniu.
",greek,male
525,Nikolina,"Nikolina – imię żeńskie, powstałe poprzez zdrobnienie imienia Nikola, dokonane na gruncie języków romańskich.
",greek,female
526,Nikoleta,"Nikoleta, Nikoletta – imię żeńskie pochodzenia włoskiego. Powstało od imienia Nikola, gdyż we Włoszech i Francji Nicola, Nicolai jest imieniem męskim, a jako żeński odpowiednik powstała Nicolette, Nicoletta ze względu na popularne we Włoszech końcówki imion -etta. Od Nikolety powstało imię Koleta, które jednak posiada w Polsce o wiele dłuższą tradycję niż Nikoleta.
",latin and romanic,female
527,Nikola,"Nikola – imię żeńskie, współcześnie sprowadzony do języka polskiego żeński odpowiednik imienia Mikołaj. Pochodzi od greckich słów Nikos – zwycięstwo i laos oznaczającego ludzie. Wśród imion nadawanych nowo narodzonym dzieciom, Nikola w 2017 r. zajmowała 26. miejsce w grupie imion żeńskich[1], co oznacza spadek o 16 miejsc od 2009 r., kiedy to zajmowała 10. miejsce w analogicznej grupie[2]. W całej populacji Polek Nikola zajmowała w 2017 r. 73. miejsce (66 007 nadań)[3].
",greek,female
528,Nikodema,"Nikodema – imię żeńskie pochodzenia greckiego, żeński odpowiednik imienia Nikodem[1], które jest złożone z wyrazów níkē (gr. „zwycięstwo”) i dēmos (gr. „lud”)[2]. Imię Nikodema nadawane jest w Polsce co najmniej od 1846 roku[3], zaś w rodzinach polskich poza ziemiami rdzennie polskimi co najmniej od 1793 roku [4]
",greek,female
529,Nikodem,"Nikodem – imię męskie pochodzenia greckiego, także rzadkie nazwisko. Wywodzi się od słowa oznaczającego ""ten, który zwycięża dla ludu"" (gr. Nikódēmos: Nike - zwycięstwo, demos - lud). To samo znaczenie ma imię Mikołaj. Żeński odpowiednik to Nikodema.
",greek,male
530,Nila,"Nila – imię żeńskie pochodzenia greckiego, od gr. neilos - ""rzeka"". 
",greek,female
531,Nikazjusz,"Nikazjusz, Nikazy – imię męskie pochodzenia greckiego, oznaczające ""zwycięski, przynoszący zwycięstwo"". Wśród patronów tego imienia – św. Nikazy z Reims, wspominany ze swoją siostrą, św. Eutropią.
",greek,male
532,Czesława,"Czasława, Czesława — staropolskie imię żeńskie, w czasach staropolskich notowane wyłącznie w formie Czasława. Składa się z członu Cza- (""spodziewać się, oczekiwać"") i -sława (""sława""). Mogło oznaczać ""tę, która oczekuje sławy"". Inną hipotezą pochodzenia tego imienia jest powstanie członu Cza- w wyniku skrócenia członu Czści-. Byłby to wówczas wariant nienotowanego imienia Czcisława. Jej męskie odpowiedniki to  Czasław i Czesław.
",slavic,female
533,Czesław,"Czasław, Czesław – staropolskie imię męskie. 
",slavic,male
534,Czabor,"Czabor – staropolskie imię męskie. Składa się z członu Cza- (""spodziewać się, oczekiwać"") i -bor (""walka""). Mogło oznaczać ""tego, który spodziewa się walki"". Inną hipotezą pochodzenia tego imienia jest powstanie członu Cza- w wyniku skrócenia członu Czści-. Byłby to wówczas jeden z wariantów imienia Czścibor.
",slavic,male
535,Cyryn,"Cyryn - imię męskie pochodzące od imienia Cyrus, które wywodzi się od perskiego słowa oznaczającego ""pasterz"". Wśród patronów: św. Cyryn (zm. w 320 roku).
",other,male
536,Cyryla,"Cyryla, Cyrylla – imię żeńskie pochodzenia greckiego; żeński odpowiednik imienia Cyryl. Wywodzi się ze słowa kyrios znaczącego „pan”, „władca”, a na gruncie greckim oznaczało osobę, która należy do Boga. 
",greek,female
537,Cyryl,"Cyryl – imię męskie pochodzenia greckiego. Wywodzi się ze słowa kyrios znaczącego ""pan"", ""władca"". Rosyjskim odpowiednikiem tego imienia jest Kiriłł (zgodnie z ISO 9).
",greek,male
538,Cyryk,"Cyryk, (łac.) Cyriccus, (gr.) Kýrikos — imię męskie pochodzenia łacińsko-perskiego, pierwotnie stanowiące zdrobnienie imienia Cyrus. Patronem tego imienia jest św. Cyryk z Antiochii, wspominany razem ze św. Julitą i 404 innymi świętymi""[1]. 
",latin and romanic,male
539,Cyrus,"Cyrus – imię męskie pochodzenia perskiego od słowa khuru, 'tron, stolica', z gr. kύρος (kyros), 'moc, władza, panowanie, autorytet' lub hebr. kôresh, hhâras, 'słońce'. Jest sześciu świętych o tym imieniu m.in. św. Cyrus, męczennik aleksandryjski z IV wieku[1].
",other,male
540,Cyriaka,"Cyriaka – żeński odpowiednik imienia Cyriak. Wśród patronek tego imienia - św. Cyriaka, zm. w 307 roku w Nikomedii.
",greek,female
541,Cyriak,"Cyriak – imię męskie pochodzenia greckiego. Wywodzi się od słowa kyriakós od rzeczownika kýrios oznaczającego ""pan"", ""władca"". Istnieje kilku świętych o tym imieniu[1].
",greek,male
542,Cyrenia,"Cyrenia — imię żeńskie pochodzące od nazwy miasta Cyrena, oznaczające ""pochodząca z Cyreny"". Patronką tego imienia jest św. Cyrenia, wspominana razem ze św. Julianną. 
",other,female
543,Kira,"Cyra, Kira – żeński odpowiednik męskiego imienia Cyrus. Patronką tego imienia jest św. Cyra z V wieku[1].
",other,female
544,Cyryna,"Cyryna - imię żeńskie pochodzące od imienia Cyrus, które wywodzi się od perskiego słowa oznaczającego ""pasterz"". Wśród patronów: św. Cyryn (zm. w 320 roku).
",other,female
545,Cyprian,"Cyprian – imię męskie pochodzenia łacińskiego. Imię to zostało utworzone od nazwy wyspy Cypr przyrostkiem -ianus i oznaczające „człowiek pochodzący z Cypru, Cypryjczyk”[1] (przyrostek -ianus często używano do tworzenia nazw osobowych wyzwoleńców)[2]. W Polsce imię to notowane jest od 1193 roku[3], w formie łac. Cyprianus, a także (Cypryjan) i – wschodniosłowiańskiej – Kupryjan, ze zdrobnieniem Cyprek (?)[4]. Współcześnie w Polsce używane jest także zdrobnienie Cypisek. 
",latin and romanic,male
546,Cirzpisława,"Cirzpisława –  staropolskie imię żeńskie złożone z członów Cirzpi- (""cierpieć"") i -sława (""sława""). Być może oznaczało ""tę, która cierpliwie znosi sławę"".
",slavic,female
547,Cirzpibog,"Cirzpibog –  staropolskie imię męskie złożone z członów Cirzpi- (""cierpieć"") i -bog (""Bóg"", ale pierwotnie ""los, dola, szczęście"")[1]. Być może oznaczało ""tego, kto cierpliwie znosi los"".
",slavic,male
548,Cieszysława,"Cieszysława - żeńska forma imienia Cieszysław, nienotowana w czasach staropolskich.
",slavic,female
549,Cieszysław,"Cieszysław  –  staropolskie imię  męskie, złożone z członów Cieszy- (""cieszyć"") i -sław (""sława""). Oznaczałoby więc ""tego, którego cieszy sława"". Zob. też Ciesław i Ciechosław.
",slavic,male
550,Cieszyrad,"Cieszyrad –  staropolskie imię męskie, którego ślad zachował się wyłącznie w zapisie Cieszyradowic. Składa się z członów: Cieszy- (""cieszyć"") i -rad (""być zadowolonym, chętnym, cieszyć się""). Mogło oznaczać ""tego, który rad się cieszy"".
",slavic,male
551,Cyntia,"Cyntia – imię żeńskie pochodzenia greckiego, oznaczające ""kobieta z góry Kynthos""[1]. Na tej górze według mitologii narodzić się miała wraz ze swoim bratem Apollinem bogini Artemida[2]. 
",greek,female
552,Cieszymysł,"Cieszymysł – staropolskie imię męskie. Składa się z członu Cieszy- (""cieszyć"") i -mysł (""myśleć"", ""myśl""). Mogło oznaczać ""ten, którego cieszy myślenie"".
",slavic,male
553,Cieszymir,"Cieszymir, Cieszymiar, Cieszymier, Cieszmir, Cieszmiar, Cieszmier,Cieszymierz   –  staropolskie imię męskie, złożone z członów Cieszy- (""cieszyć"") i -mir (""pokój, spokój, dobro""). Oznaczałoby więc ""tego, którego cieszy pokój"".
",slavic,male
554,Cieszygor,"Cieszygor (lub Cieszygór) – staropolskie imię męskie. Składa się z członu Cieszy- (""cieszyć się"") i -gor (""goreć, palić się"").  Mogło oznaczać ""tego, który cieszy się ogniem"".
",slavic,male
555,Cieszybor,"Cieszybor, Cieszbor –  staropolskie imię męskie, złożone z członów Cieszy- (""cieszyć"") i -bor (""walka""). Oznaczałoby więc ""tego, którego cieszy walka"".
",slavic,male
556,Ciesława,"Ciesława  –  staropolskie imię żeńskie, stanowiące formę skróconą od imienia Ciechosława lub nienotowanego w dawnych źródłach, lecz możliwego imienia Cieszysława.
",slavic,female
557,Ciesław,"Ciesław  –  starosłowiańskie imię męskie, stanowiące formę skróconą od imienia Ciechosław lub Cieszysław.
",slavic,male
558,Ciecirada,"Ciecirada –  staropolskie imię żeńskie złożone z członów Ciecie- (""ciotka"") i -rada (""być zadowoloną, chętną, cieszyć się""). Mogło zatem oznaczać ""ta, która jest życzliwie nastawiona do cioci"".
",slavic,female
559,Ciecierad,"Ciecierad, Ciecirad, Cieciered, Cieciurad, Ciećrad –  staropolskie imię męskie złożone z członów Ciecie- (""ciotka"") i -rad (""być zadowolonym, chętnym, cieszyć się""). Mogło zatem oznaczać ""ten, który jest życzliwie nastawiony do cioci"".
",slavic,male
560,Ciecimiar,"Ciecimier –  staropolskie imię męskie złożone z członów Ciecie- (""ciotka"") i -mier /-mierz (mir – ""pokój, spokój, dobro""). Mogło zatem oznaczać ""ten, który zapewnia cioci pokój"".
",slavic,male
561,Ciechosława,"Ciechosława –  staropolskie imię żeńskie, złożone z członów Ciecho- (""uciecha, pociecha"") i -sława (""sława""). Imię to mogło oznaczać ""sławiąca radość"". Zob. też Ciesława. W źródłach polskich poświadczone od XIII wieku (1265 rok).
",slavic,female
